-1;-0.989358;-0.989358;-0.989358;-0.989358;-0.989358;-0.989358;-0.989358;-0.989358;-0.989358;
-0.999;-0.991753;-0.990335;-0.990334;-0.990334;-0.990332;-0.985446;-0.985789;-0.98627;-0.986346;
-0.998;-0.994126;-0.991286;-0.991281;-0.991281;-0.991273;-0.981534;-0.98222;-0.983183;-0.983334;
-0.997;-0.996478;-0.992211;-0.992201;-0.9922;-0.992184;-0.977624;-0.978653;-0.980097;-0.980324;
-0.996;-0.998808;-0.993112;-0.993093;-0.993091;-0.993062;-0.973715;-0.975087;-0.977012;-0.977314;
-0.995;-1.00112;-0.993987;-0.993957;-0.993955;-0.993909;-0.969807;-0.971521;-0.973928;-0.974306;
-0.994;-1.0034;-0.994836;-0.994794;-0.99479;-0.994725;-0.965899;-0.967957;-0.970845;-0.971298;
-0.993;-1.00567;-0.995661;-0.995603;-0.995598;-0.99551;-0.961993;-0.964394;-0.967763;-0.968291;
-0.992;-1.00791;-0.99646;-0.996385;-0.996379;-0.996264;-0.958089;-0.960832;-0.964683;-0.965286;
-0.991;-1.01013;-0.997234;-0.99714;-0.997132;-0.996986;-0.954185;-0.957271;-0.961603;-0.962282;
-0.99;-1.01233;-0.997984;-0.997867;-0.997857;-0.997678;-0.950283;-0.953711;-0.958524;-0.959278;
-0.989;-1.0145;-0.998708;-0.998567;-0.998556;-0.998339;-0.946382;-0.950153;-0.955446;-0.956276;
-0.988;-1.01665;-0.999408;-0.999241;-0.999226;-0.99897;-0.942482;-0.946595;-0.95237;-0.953274;
-0.987;-1.01878;-1.00008;-0.999887;-0.99987;-0.999569;-0.938584;-0.943039;-0.949294;-0.950274;
-0.986;-1.02089;-1.00073;-1.00051;-1.00049;-1.00014;-0.934686;-0.939484;-0.946219;-0.947275;
-0.985;-1.02298;-1.00136;-1.0011;-1.00108;-1.00068;-0.930791;-0.935931;-0.943146;-0.944277;
-0.984;-1.02504;-1.00196;-1.00166;-1.00164;-1.00119;-0.926896;-0.932378;-0.940074;-0.94128;
-0.983;-1.02708;-1.00254;-1.0022;-1.00218;-1.00167;-0.923003;-0.928827;-0.937002;-0.938284;
-0.982;-1.0291;-1.00309;-1.00272;-1.00268;-1.00211;-0.919112;-0.925277;-0.933932;-0.935289;
-0.981;-1.0311;-1.00362;-1.0032;-1.00317;-1.00253;-0.915222;-0.921729;-0.930863;-0.932295;
-0.98;-1.03307;-1.00412;-1.00366;-1.00362;-1.00292;-0.911333;-0.918182;-0.927795;-0.929302;
-0.979;-1.03502;-1.0046;-1.0041;-1.00405;-1.00328;-0.907446;-0.914636;-0.924729;-0.92631;
-0.978;-1.03695;-1.00505;-1.0045;-1.00446;-1.00361;-0.90356;-0.911091;-0.921663;-0.92332;
-0.977;-1.03885;-1.00548;-1.00488;-1.00483;-1.00391;-0.899677;-0.907548;-0.918598;-0.92033;
-0.976;-1.04073;-1.00589;-1.00524;-1.00518;-1.00418;-0.895794;-0.904007;-0.915535;-0.917342;
-0.975;-1.04259;-1.00627;-1.00557;-1.00551;-1.00442;-0.891914;-0.900467;-0.912473;-0.914355;
-0.974;-1.04443;-1.00663;-1.00587;-1.00581;-1.00463;-0.888035;-0.896928;-0.909412;-0.911368;
-0.973;-1.04624;-1.00697;-1.00615;-1.00608;-1.00482;-0.884157;-0.893391;-0.906352;-0.908383;
-0.972;-1.04803;-1.00728;-1.0064;-1.00632;-1.00497;-0.880282;-0.889855;-0.903293;-0.905399;
-0.971;-1.04979;-1.00757;-1.00663;-1.00655;-1.0051;-0.876408;-0.88632;-0.900236;-0.902417;
-0.97;-1.05154;-1.00783;-1.00683;-1.00674;-1.00519;-0.872535;-0.882788;-0.89718;-0.899435;
-0.969;-1.05325;-1.00807;-1.007;-1.00691;-1.00526;-0.868665;-0.879257;-0.894124;-0.896454;
